"","Code","country","century","decade","year","height.cm","year_decade","height.in"
"133",458,"Malaysia","18","4","0",159.3,"1840",62.7165354330709
"134",704,"Viet Nam","18","4","0",157.5,"1840",62.007874015748
"135",268,"Georgia","18","4","0",165.5,"1840",65.1574803149606
"136",398,"Kazakhstan","18","4","0",165.3,"1840",65.0787401574803
"137",854,"Burkina Faso","18","4","0",162.59,"1840",64.011811023622
"138",40,"Austria","18","5","0",165.8,"1850",65.2755905511811
"139",56,"Belgium","18","5","0",166.1,"1850",65.3937007874016
"140",280,"Federal Republic of Germany (until 1990)","18","5","0",163.8,"1850",64.488188976378
"141",250,"France","18","5","0",165.2,"1850",65.0393700787401
"142",276,"Germany","18","5","0",163.8,"1850",64.488188976378
"143",528,"Netherlands","18","5","0",165.3,"1850",65.0787401574803
"144",208,"Denmark","18","5","0",167.4,"1850",65.9055118110236
"145",578,"Norway","18","5","0",169.1,"1850",66.5748031496063
"146",752,"Sweden","18","5","0",168.4,"1850",66.2992125984252
"147",826,"United Kingdom of Great Britain and Northern Ireland","18","5","0",165.6,"1850",65.1968503937008
"148",191,"Croatia","18","5","0",168.1,"1850",66.1811023622047
"149",380,"Italy","18","5","0",162.9,"1850",64.1338582677165
"150",620,"Portugal","18","5","0",164.16,"1850",64.6299212598425
"151",688,"Serbia","18","5","0",166.2,"1850",65.4330708661417
"152",891,"Serbia and Montenegro (until 2006)","18","5","0",166.2,"1850",65.4330708661417
"153",724,"Spain","18","5","0",162.5,"1850",63.9763779527559
"154",203,"Czech Republic","18","5","0",165.5,"1850",65.1574803149606
"155",200,"Czechoslovakia (until 1993)","18","5","0",166.2,"1850",65.4330708661417
"156",348,"Hungary","18","5","0",163.7,"1850",64.4488188976378
"157",642,"Romania","18","5","0",163.4,"1850",64.3307086614173
"158",643,"Russian Federation","18","5","0",163.4,"1850",64.3307086614173
"159",703,"Slovakia","18","5","0",164.1,"1850",64.6062992125984
"160",804,"Ukraine","18","5","0",163.1,"1850",64.2125984251968
"161",124,"Canada","18","5","0",172.466,"1850",67.9
"162",840,"United States of America","18","5","0",171.1,"1850",67.3622047244095
"163",484,"Mexico","18","5","0",163.4,"1850",64.3307086614173
"164",32,"Argentina","18","5","0",168.2,"1850",66.2204724409449
"165",76,"Brazil","18","5","0",164.5,"1850",64.7637795275591
"166",604,"Peru","18","5","0",161.8,"1850",63.7007874015748
"167",53,"Australia and New Zealand","18","5","0",170,"1850",66.9291338582677
"168",36,"Australia","18","5","0",170,"1850",66.9291338582677
"169",50,"Bangladesh","18","5","0",161.807,"1850",63.7035433070866
"170",356,"India","18","5","0",161.823,"1850",63.709842519685
"171",364,"Iran (Islamic Republic of)","18","5","0",165.33,"1850",65.0905511811024
"172",586,"Pakistan","18","5","0",162,"1850",63.7795275590551
"173",156,"China","18","5","0",166.2,"1850",65.4330708661417
"174",116,"Cambodia","18","5","0",163.2,"1850",64.251968503937
"175",360,"Indonesia","18","5","0",160.58,"1850",63.2204724409449
"176",418,"Lao People's Democratic Republic","18","5","0",160,"1850",62.992125984252
"177",104,"Myanmar","18","5","0",161.1,"1850",63.4251968503937
"178",704,"Viet Nam","18","5","0",158.4,"1850",62.3622047244095
"179",51,"Armenia","18","5","0",169.324,"1850",66.6629921259843
"180",31,"Azerbaijan","18","5","0",170.185,"1850",67.001968503937
"181",376,"Israel","18","5","0",169.06,"1850",66.5590551181102
"182",422,"Lebanon","18","5","0",166.45,"1850",65.5314960629921
"183",760,"Syrian Arab Republic","18","5","0",166.34,"1850",65.488188976378
"184",792,"Turkey","18","5","0",168.66,"1850",66.4015748031496
"185",886,"Yemen (until 1990)","18","5","0",162.26,"1850",63.8818897637795
"186",887,"Yemen","18","5","0",162.26,"1850",63.8818897637795
"187",398,"Kazakhstan","18","5","0",164.6,"1850",64.8031496062992
"188",818,"Egypt","18","5","0",166.35,"1850",65.492125984252
"189",384,"Cote d'Ivoire","18","5","0",170.523,"1850",67.1350393700787
"190",466,"Mali","18","5","0",166.467,"1850",65.538188976378
"191",178,"Congo","18","5","0",167.605,"1850",65.9862204724409
"192",40,"Austria","18","6","0",166.4,"1860",65.511811023622
"193",56,"Belgium","18","6","0",166.6,"1860",65.5905511811024
"194",280,"Federal Republic of Germany (until 1990)","18","6","0",165.5,"1860",65.1574803149606
"195",250,"France","18","6","0",165.4,"1860",65.1181102362205
"196",276,"Germany","18","6","0",165.5,"1860",65.1574803149606
"197",528,"Netherlands","18","6","0",166.5,"1860",65.5511811023622
"198",208,"Denmark","18","6","0",168.1,"1860",66.1811023622047
"199",246,"Finland","18","6","0",167.3,"1860",65.8661417322835
"200",578,"Norway","18","6","0",169.7,"1860",66.8110236220472
"201",752,"Sweden","18","6","0",169.3,"1860",66.6535433070866
"202",826,"United Kingdom of Great Britain and Northern Ireland","18","6","0",166.6,"1860",65.5905511811024
"203",191,"Croatia","18","6","0",165.9,"1860",65.3149606299213
"204",380,"Italy","18","6","0",163.1,"1860",64.2125984251968
"205",620,"Portugal","18","6","0",164.066,"1860",64.5929133858268
"206",724,"Spain","18","6","0",162.7,"1860",64.0551181102362
"207",203,"Czech Republic","18","6","0",166,"1860",65.3543307086614
"208",348,"Hungary","18","6","0",165.3,"1860",65.0787401574803
