City,Abbr.,County,Alias_Abbr
Stebbins,AK,NOME,"Stebbins, AK"
Sterling,AK,KENAI PENINSULA,"Sterling, AK"
Sutton,AK,MATANUSKA SUSITNA,"Sutton, AK"
Sutton,AK,MATANUSKA SUSITNA,"Chickaloon, AK"
Takotna,AK,YUKON KOYUKUK,"Takotna, AK"
Talkeetna,AK,MATANUSKA SUSITNA,"Talkeetna, AK"
Tatitlek,AK,VALDEZ CORDOVA,"Tatitlek, AK"
Togiak,AK,DILLINGHAM,"Togiak, AK"
Tuluksak,AK,BETHEL,"Tuluksak, AK"
Tuntutuliak,AK,BETHEL,"Tuntutuliak, AK"
Tununak,AK,BETHEL,"Tununak, AK"
Tyonek,AK,KENAI PENINSULA,"Tyonek, AK"
Willow,AK,MATANUSKA SUSITNA,"Willow, AK"
Trapper Creek,AK,MATANUSKA SUSITNA,"Trapper Creek, AK"
Unalakleet,AK,NOME,"Unalakleet, AK"
Unalaska,AK,ALEUTIANS WEST,"Unalaska, AK"
Valdez,AK,VALDEZ CORDOVA,"Valdez, AK"
Yakutat,AK,YAKUTAT,"Yakutat, AK"
Nightmute,AK,BETHEL,"Nightmute, AK"
Nikolai,AK,YUKON KOYUKUK,"Nikolai, AK"
Dutch Harbor,AK,ALEUTIANS WEST,"Dutch Harbor, AK"
Whittier,AK,VALDEZ CORDOVA,"Whittier, AK"
Fairbanks,AK,FAIRBANKS NORTH STAR,"Coldfoot, AK"
Fairbanks,AK,FAIRBANKS NORTH STAR,"Fairbanks, AK"
Eielson AFB,AK,FAIRBANKS NORTH STAR,"Eielson AFB, AK"
Fort Wainwright,AK,FAIRBANKS NORTH STAR,"Fort Wainwright, AK"
Fort Wainwright,AK,FAIRBANKS NORTH STAR,"Ft Wainwright, AK"
Clear,AK,DENALI,"Clear, AK"
Nenana,AK,YUKON KOYUKUK,"Nenana, AK"
North Pole,AK,FAIRBANKS NORTH STAR,"North Pole, AK"
Fairbanks,AK,FAIRBANKS NORTH STAR,"Steese, AK"
Fairbanks,AK,FAIRBANKS NORTH STAR,"Badger, AK"
Salcha,AK,FAIRBANKS NORTH STAR,"Salcha, AK"
Two Rivers,AK,FAIRBANKS NORTH STAR,"Two Rivers, AK"
Allakaket,AK,YUKON KOYUKUK,"Allakaket, AK"
Anaktuvuk Pass,AK,NORTH SLOPE,"Anaktuvuk, AK"
Anaktuvuk Pass,AK,NORTH SLOPE,"Anaktuvuk Pass, AK"
Arctic Village,AK,YUKON KOYUKUK,"Arctic Vlg, AK"
Arctic Village,AK,YUKON KOYUKUK,"Arctic Village, AK"
Barrow,AK,NORTH SLOPE,"Barrow, AK"
Beaver,AK,YUKON KOYUKUK,"Beaver, AK"
Ester,AK,FAIRBANKS NORTH STAR,"Ester, AK"
Bettles Field,AK,YUKON KOYUKUK,"Bettles Field, AK"
Bettles Field,AK,YUKON KOYUKUK,"Bettles, AK"
Buckland,AK,NORTHWEST ARCTIC,"Buckland, AK"
Cantwell,AK,DENALI,"Cantwell, AK"
Central,AK,YUKON KOYUKUK,"Central, AK"
Delta Junction,AK,SOUTHEAST FAIRBANKS,"Delta Jct, AK"
Fort Greely,AK,SOUTHEAST FAIRBANKS,"Fort Greely, AK"
Delta Junction,AK,SOUTHEAST FAIRBANKS,"Delta Junction, AK"
Chicken,AK,SOUTHEAST FAIRBANKS,"Chicken, AK"
Circle,AK,YUKON KOYUKUK,"Circle, AK"
Prudhoe Bay,AK,NORTH SLOPE,"Prudhoe Bay, AK"
Deering,AK,NORTHWEST ARCTIC,"Deering, AK"
Delta Junction,AK,SOUTHEAST FAIRBANKS,"Dot Lake, AK"
Eagle,AK,SOUTHEAST FAIRBANKS,"Eagle, AK"
Elim,AK,NOME,"Elim, AK"
Fort Yukon,AK,YUKON KOYUKUK,"Ft Yukon, AK"
Fort Yukon,AK,YUKON KOYUKUK,"Fort Yukon, AK"
Galena,AK,YUKON KOYUKUK,"Galena, AK"
Gambell,AK,NOME,"Gambell, AK"
Healy,AK,DENALI,"Healy, AK"
Anderson,AK,DENALI,"Anderson, AK"
Hughes,AK,YUKON KOYUKUK,"Hughes, AK"
Huslia,AK,YUKON KOYUKUK,"Huslia, AK"
Kaktovik,AK,NORTH SLOPE,"Kaktovik, AK"
Kaltag,AK,YUKON KOYUKUK,"Kaltag, AK"
Kiana,AK,NORTHWEST ARCTIC,"Kiana, AK"
Kivalina,AK,NORTHWEST ARCTIC,"Kivalina, AK"
Kobuk,AK,NORTHWEST ARCTIC,"Kobuk, AK"
Kotzebue,AK,NORTHWEST ARCTIC,"Kotzebue, AK"
Koyuk,AK,NOME,"Koyuk, AK"
Koyukuk,AK,YUKON KOYUKUK,"Koyukuk, AK"
Denali National Park,AK,DENALI,"Denali Park, AK"
Denali National Park,AK,DENALI,"Denali National Park, AK"
Manley Hot Springs,AK,YUKON KOYUKUK,"Manley Spgs, AK"
Manley Hot Springs,AK,YUKON KOYUKUK,"Manley Hot Springs, AK"
Lake Minchumina,AK,YUKON KOYUKUK,"Lake Minchumina, AK"
Lake Minchumina,AK,YUKON KOYUKUK,"Lk Minchumina, AK"
Minto,AK,YUKON KOYUKUK,"Minto, AK"
Point Lay,AK,NORTH SLOPE,"Point Lay, AK"
Noatak,AK,NORTHWEST ARCTIC,"Noatak, AK"
Nome,AK,NOME,"Golovin, AK"
Nome,AK,NOME,"Diomede, AK"
Nome,AK,NOME,"Nome, AK"
Nome,AK,NOME,"Little Diomede, AK"
Nome,AK,NOME,"Ltl Diomede, AK"
Noorvik,AK,NORTHWEST ARCTIC,"Noorvik, AK"
Northway,AK,SOUTHEAST FAIRBANKS,"Northway, AK"
Nulato,AK,YUKON KOYUKUK,"Nulato, AK"
Point Hope,AK,NORTH SLOPE,"Point Hope, AK"
Rampart,AK,YUKON KOYUKUK,"Rampart, AK"
Ruby,AK,YUKON KOYUKUK,"Ruby, AK"
Savoonga,AK,NOME,"Savoonga, AK"
Selawik,AK,NORTHWEST ARCTIC,"Selawik, AK"
Shaktoolik,AK,NOME,"Shaktoolik, AK"
Shishmaref,AK,NOME,"Shishmaref, AK"
Shungnak,AK,NORTHWEST ARCTIC,"Shungnak, AK"
Stevens Village,AK,YUKON KOYUKUK,"Stevens Vlg, AK"
Stevens Village,AK,YUKON KOYUKUK,"Stevens Village, AK"
Tok,AK,SOUTHEAST FAIRBANKS,"Tok, AK"
Tanacross,AK,SOUTHEAST FAIRBANKS,"Tanacross, AK"
Tanana,AK,YUKON KOYUKUK,"Tanana, AK"
Teller,AK,NOME,"Teller, AK"
Tok,AK,SOUTHEAST FAIRBANKS,"Mentasta Lake, AK"
Venetie,AK,YUKON KOYUKUK,"Venetie, AK"
Wainwright,AK,NORTH SLOPE,"Wainwright, AK"
Wales,AK,NOME,"Wales, AK"
White Mountain,AK,NOME,"White Mountain, AK"
White Mountain,AK,NOME,"White Mtn, AK"
Brevig Mission,AK,NOME,"Brevig Mission, AK"
Brevig Mission,AK,NOME,"Brevig Msn, AK"
Ambler,AK,NORTHWEST ARCTIC,"Ambler, AK"
Chalkyitsik,AK,YUKON KOYUKUK,"Chalkyitsik, AK"
Nuiqsut,AK,NORTH SLOPE,"Nuiqsut, AK"
Atqasuk,AK,NORTH SLOPE,"Atqasuk, AK"
Juneau,AK,JUNEAU,"Juneau, AK"
Juneau,AK,JUNEAU,"State Of Alaska  Brm, AK"
Angoon,AK,HOONAH ANGOON,"Angoon, AK"
Auke Bay,AK,JUNEAU,"Auke Bay, AK"
Douglas,AK,JUNEAU,"Douglas, AK"
Elfin Cove,AK,HOONAH ANGOON,"Elfin Cove, AK"
Gustavus,AK,HOONAH ANGOON,"Gustavus, AK"
Haines,AK,HAINES,"Haines, AK"
Hoonah,AK,HOONAH ANGOON,"Hoonah, AK"
Kake,AK,PETERSBURG,"Kake, AK"
Pelican,AK,HOONAH ANGOON,"Pelican, AK"
Petersburg,AK,PETERSBURG,"Kupreanof, AK"
Petersburg,AK,PETERSBURG,"Petersburg, AK"
Sitka,AK,SITKA,"Sitka, AK"
Port Alexander,AK,SITKA,"Port Alexander, AK"
Port Alexander,AK,SITKA,"Prt Alexander, AK"
Skagway,AK,SKAGWAY,"Skagway, AK"
