unitid,year,fips,race,sex,completers
109040,2014,6,9,1,2
109040,2014,6,9,2,5
109040,2014,6,1,99,43
109040,2015,6,7,99,50
109040,2015,6,5,1,0
109040,2015,6,5,2,2
109040,2015,6,4,99,82
109040,2015,6,2,1,18
109040,2015,6,2,2,83
109040,2015,6,3,99,675
109040,2015,6,6,1,2
109040,2015,6,6,2,10
109040,2015,6,8,99,0
109040,2015,6,99,1,204
109040,2015,6,99,2,786
109040,2015,6,9,99,19
109040,2015,6,1,1,13
109040,2015,6,1,2,36
109086,2014,6,7,1,1
109086,2014,6,7,2,6
109086,2014,6,5,99,0
109086,2014,6,4,1,2
109086,2014,6,4,2,7
109086,2014,6,2,99,7
109086,2014,6,3,1,1
109086,2014,6,3,2,6
109086,2014,6,6,99,0
109086,2014,6,8,1,3
109086,2014,6,8,2,3
109086,2014,6,99,99,91
109086,2014,6,9,1,4
109086,2014,6,9,2,9
109086,2014,6,1,99,42
109086,2015,6,7,99,7
109086,2015,6,5,1,0
109086,2015,6,5,2,0
109086,2015,6,4,99,3
109086,2015,6,2,1,0
109086,2015,6,2,2,3
109086,2015,6,3,99,6
109086,2015,6,6,1,0
109086,2015,6,6,2,0
109086,2015,6,8,99,3
109086,2015,6,99,1,31
109086,2015,6,99,2,52
109086,2015,6,9,99,12
109086,2015,6,1,1,19
109086,2015,6,1,2,30
109208,2014,6,7,1,71
109208,2014,6,7,2,89
109208,2014,6,5,99,36
109208,2014,6,4,1,218
109208,2014,6,4,2,186
109208,2014,6,2,99,290
109208,2014,6,3,1,426
109208,2014,6,3,2,346
109208,2014,6,6,99,25
109208,2014,6,8,1,5
109208,2014,6,8,2,10
109208,2014,6,99,99,4132
109208,2014,6,9,1,221
109208,2014,6,9,2,93
109208,2014,6,1,99,2116
109208,2015,6,7,99,180
109208,2015,6,5,1,16
109208,2015,6,5,2,18
109208,2015,6,4,99,444
109208,2015,6,2,1,134
109208,2015,6,2,2,151
109208,2015,6,3,99,914
109208,2015,6,6,1,22
109208,2015,6,6,2,19
109208,2015,6,8,99,23
109208,2015,6,99,1,2495
109208,2015,6,99,2,2134
109208,2015,6,9,99,389
109208,2015,6,1,1,1264
109208,2015,6,1,2,1055
109350,2014,6,7,1,27
109350,2014,6,7,2,37
109350,2014,6,5,99,7
109350,2014,6,4,1,20
109350,2014,6,4,2,29
109350,2014,6,2,99,178
109350,2014,6,3,1,234
109350,2014,6,3,2,346
109350,2014,6,6,99,1
109350,2014,6,8,1,0
109350,2014,6,8,2,1
109350,2014,6,99,99,1272
109350,2014,6,9,1,7
109350,2014,6,9,2,11
109350,2014,6,1,99,374
109350,2015,6,7,99,62
109350,2015,6,5,1,2
109350,2015,6,5,2,4
109350,2015,6,4,99,76
109350,2015,6,2,1,53
109350,2015,6,2,2,116
109350,2015,6,3,99,654
109350,2015,6,6,1,1
109350,2015,6,6,2,0
109350,2015,6,8,99,4
109350,2015,6,99,1,523
109350,2015,6,99,2,836
109350,2015,6,9,99,22
109350,2015,6,1,1,138
109350,2015,6,1,2,227
109651,2014,6,7,1,7
109651,2014,6,7,2,9
109651,2014,6,5,99,0
109651,2014,6,4,1,77
109651,2014,6,4,2,80
109651,2014,6,2,99,5
109651,2014,6,3,1,30
109651,2014,6,3,2,26
109651,2014,6,6,99,4
109651,2014,6,8,1,44
109651,2014,6,8,2,48
109651,2014,6,99,99,463
109651,2014,6,9,1,2
